iter	Passed	Remaining
191	354	1493
192	356	1489
193	357	1487
194	359	1484
195	361	1481
196	362	1478
197	364	1475
198	365	1471
199	366	1464
200	367	1461
201	369	1458
202	370	1455
203	371	1448
204	372	1446
205	374	1444
206	376	1441
207	377	1438
208	378	1431
209	380	1429
210	381	1427
211	383	1424
212	384	1421
213	386	1418
214	387	1415
215	389	1412
216	390	1410
217	392	1408
218	394	1406
219	396	1404
220	398	1402
221	399	1401
222	401	1397
223	402	1395
224	403	1390
225	405	1389
226	407	1386
227	408	1384
228	409	1378
229	410	1375
230	412	1372
231	413	1369
232	415	1366
233	416	1363
234	418	1361
235	419	1359
236	421	1357
237	423	1354
238	424	1352
239	426	1350
240	428	1349
241	429	1346
242	431	1343
243	432	1340
244	434	1338
245	435	1336
246	437	1335
247	439	1332
248	441	1330
249	442	1327
250	443	1324
251	445	1321
252	446	1318
253	448	1317
254	450	1314
255	451	1312
256	453	1310
257	454	1308
258	456	1306
259	458	1303
260	459	1301
261	461	1298
262	463	1299
263	465	1297
264	467	1295
265	468	1293
266	470	1290
267	471	1289
268	473	1286
269	474	1283
270	476	1280
271	477	1277
272	479	1275
273	481	1274
274	482	1272
275	484	1271
276	486	1269
277	487	1266
278	488	1263
279	490	1260
280	491	1258
281	493	1255
282	494	1253
283	496	1251
284	497	1248
285	498	1245
286	500	1243
287	501	1240
288	503	1238
289	504	1235
290	506	1232
291	507	1230
292	509	1228
293	510	1225
294	511	1223
295	513	1220
296	514	1218
297	516	1216
298	517	1213
299	519	1211
300	520	1208
301	521	1206
302	523	1204
303	524	1201
304	526	1199
305	527	1197
306	529	1195
307	530	1192
308	532	1190
309	533	1187
310	535	1185
311	536	1183
312	537	1180
313	539	1178
314	541	1176
315	542	1174
316	543	1172
317	545	1169
318	546	1167
319	548	1165
320	549	1163
321	551	1160
322	552	1158
323	554	1156
324	555	1154
325	557	1151
326	558	1149
327	560	1147
328	561	1145
329	563	1143
330	564	1140
331	565	1138
332	567	1136
333	568	1134
334	570	1131
335	571	1129
336	573	1127
337	574	1125
338	575	1123
339	577	1121
340	579	1119
341	580	1117
342	582	1114
343	583	1112
344	585	1110
345	586	1108
346	588	1106
347	589	1104
348	591	1102
349	592	1100
350	594	1098
351	596	1097
352	598	1096
353	599	1093
354	600	1091
355	602	1089
356	603	1087
357	605	1085
358	606	1083
359	607	1080
360	609	1078
361	611	1076
362	612	1075
363	614	1073
364	615	1071
365	617	1069
366	618	1067
367	620	1065
368	621	1062
369	624	1062
370	626	1061
371	628	1060
372	629	1058
373	631	1057
374	633	1056
375	635	1054
376	636	1052
377	638	1050
378	640	1049
379	641	1047
380	643	1045
381	644	1043
382	646	1040
383	647	1038
384	649	1036
385	650	1034
386	651	1032
387	653	1030
388	654	1028
389	656	1026
390	657	1024
391	659	1022
392	660	1020
393	662	1018
394	663	1016
395	665	1014
396	666	1012
397	668	1010
398	669	1008
399	670	1006
400	672	1004
401	673	1002
402	675	1000
403	676	998
404	678	996
405	679	993
406	681	992
407	682	990
408	683	988
409	685	986
410	686	984
411	688	982
412	689	980
413	691	978
414	692	976
415	694	974
416	696	973
417	697	971
418	699	969
419	701	968
420	702	966
421	704	964
422	705	963
423	707	960
424	708	958
425	710	956
426	711	954
427	713	953
428	714	951
429	716	949
430	718	948
431	720	946
432	721	944
433	722	942
434	724	940
435	725	939
436	727	937
437	729	936
438	731	934
439	733	933
440	734	931
441	741	936
442	743	934
443	745	933
444	747	931
445	749	930
446	750	928
447	752	926
448	753	924
449	755	923
450	757	921
451	758	919
452	760	917
453	761	916
454	763	914
455	765	912
456	766	911
457	768	909
458	770	908
459	772	906
460	773	904
461	775	902
462	776	900
463	778	899
464	780	897
465	781	896
466	783	894
467	785	892
468	786	890
469	787	888
470	789	886
471	790	884
472	791	882
473	793	880
474	794	878
475	796	876
476	797	874
477	799	872
478	800	870
479	802	868
480	803	866
481	804	865
482	806	863
483	807	861
484	809	859
485	810	857
486	812	855
487	813	853
488	815	851
489	816	850
490	818	848
491	820	847
492	821	845
493	823	843
494	824	841
495	826	840
496	828	838
497	829	836
498	831	834
499	832	832
500	834	830
501	835	829
502	837	827
503	838	825
504	840	824
505	842	822
506	843	820
507	845	818
508	847	817
509	849	815
510	850	814
511	852	812
512	853	810
513	855	808
514	856	806
515	858	805
516	859	803
517	861	801
518	863	799
519	864	798
520	866	796
521	868	794
522	869	793
523	871	791
524	873	789
525	874	788
526	876	786
527	877	784
528	879	782
529	880	781
530	882	779
531	883	777
532	885	776
533	887	774
534	889	772
535	890	771
536	892	769
537	893	767
538	895	765
539	897	764
540	898	762
541	900	761
542	902	759
543	904	757
544	905	756
545	907	754
546	908	752
547	910	750
548	911	748
549	913	747
550	914	745
551	916	743
552	918	742
553	920	741
554	922	739
555	923	737
556	925	735
557	926	734
558	928	732
559	930	730
560	931	729
561	934	728
562	935	726
563	937	724
564	938	722
565	939	720
566	941	718
567	942	717
568	944	715
569	946	714
570	948	712
571	949	710
572	951	709
573	952	707
574	954	705
575	955	703
576	957	701
577	959	700
578	960	698
579	962	696
580	963	695
581	965	693
582	966	691
583	968	689
584	969	687
585	971	686
586	972	684
587	973	682
588	975	680
589	976	678
590	978	677
591	979	675
592	981	673
593	982	671
594	984	670
595	986	668
596	987	666
597	989	665
598	991	663
599	992	661
600	994	660
601	996	658
602	997	657
603	999	655
604	1001	653
605	1002	652
606	1004	650
607	1006	649
608	1008	647
609	1010	645
610	1011	644
611	1013	642
612	1015	640
613	1016	639
614	1018	637
615	1020	636
616	1022	634
617	1023	632
618	1025	631
619	1026	629
620	1027	627
621	1029	625
622	1030	623
623	1032	622
624	1033	620
625	1035	618
626	1036	616
627	1037	614
628	1039	613
629	1041	611
630	1042	609
631	1044	607
632	1045	606
633	1046	604
634	1048	602
635	1049	600
636	1051	599
637	1052	597
638	1054	595
639	1055	593
640	1056	591
641	1058	590
642	1059	588
643	1061	586
644	1062	584
645	1064	583
646	1065	581
647	1066	579
648	1068	577
649	1069	575
650	1070	573
651	1071	572
652	1073	570
653	1074	568
654	1075	566
655	1077	564
656	1078	563
657	1080	561
658	1081	559
659	1083	558
660	1084	556
661	1086	554
662	1087	552
663	1089	551
664	1090	549
665	1092	547
666	1093	546
667	1095	544
668	1097	542
669	1098	540
670	1099	539
671	1101	537
672	1103	536
673	1104	534
674	1107	533
675	1108	531
676	1110	529
677	1111	527
678	1113	526
679	1114	524
680	1116	522
681	1118	521
682	1119	519
683	1121	518
684	1122	516
685	1124	514
686	1125	512
687	1126	510
688	1128	509
689	1129	507
690	1130	505
691	1132	504
692	1134	502
693	1135	500
694	1137	499
695	1139	497
696	1140	495
697	1141	493
698	1143	492
699	1144	490
700	1145	488
701	1147	487
702	1149	485
703	1150	483
704	1152	482
705	1153	480
706	1155	478
707	1156	477
708	1157	475
709	1159	473
710	1160	471
711	1162	470
712	1163	468
713	1165	466
714	1167	465
715	1170	464
716	1171	462
717	1172	460
718	1174	458
719	1175	457
720	1176	455
721	1178	453
722	1179	452
723	1181	450
724	1182	448
725	1183	446
726	1185	445
727	1186	443
728	1188	441
729	1189	439
730	1190	438
731	1192	436
732	1193	434
733	1195	433
734	1197	431
735	1198	430
736	1200	428
737	1202	426
738	1203	425
739	1204	423
740	1206	421
741	1207	419
742	1209	418
743	1211	416
744	1213	415
745	1215	413
746	1217	412
747	1219	410
748	1220	409
749	1222	407
750	1224	405
751	1225	404
752	1227	402
753	1229	401
754	1231	399
755	1232	397
756	1234	396
757	1236	394
758	1238	393
759	1240	391
760	1242	390
761	1244	388
762	1246	387
763	1248	385
764	1250	384
765	1251	382
766	1253	380
767	1255	379
768	1256	377
769	1258	375
770	1260	374
771	1261	372
772	1263	370
773	1265	369
774	1266	367
775	1268	366
776	1270	364
777	1271	362
778	1273	361
779	1275	359
780	1277	358
781	1279	356
782	1280	354
783	1282	353
784	1284	351
785	1285	350
786	1287	348
787	1289	346
788	1291	345
789	1293	343
790	1295	342
791	1297	340
792	1298	338
793	1300	337
794	1302	335
795	1304	334
796	1305	332
797	1308	331
798	1310	329
799	1311	327
800	1313	326
801	1315	324
802	1317	323
803	1318	321
804	1320	319
805	1322	318
806	1324	316
807	1325	315
808	1327	313
809	1329	311
810	1331	310
811	1333	308
812	1334	307
813	1336	305
814	1338	303
815	1339	302
816	1341	300
817	1343	298
818	1344	297
819	1346	295
820	1348	293
821	1349	292
822	1351	290
823	1354	289
824	1355	287
825	1357	285
826	1359	284
827	1360	282
828	1362	281
829	1364	279
830	1365	277
831	1367	276
832	1369	274
833	1370	272
834	1372	271
835	1374	269
836	1376	267
837	1377	266
838	1379	264
839	1380	263
840	1382	261
841	1384	259
842	1385	258
843	1387	256
844	1389	254
845	1390	253
846	1392	251
847	1394	249
848	1396	248
849	1397	246
850	1399	245
851	1401	243
852	1403	241
853	1404	240
854	1407	238
855	1409	237
856	1410	235
857	1412	233
858	1413	232
859	1415	230
860	1417	228
861	1418	227
862	1420	225
863	1421	223
864	1424	222
865	1425	220
866	1427	218
867	1428	217
868	1429	215
869	1431	213
870	1432	212
871	1434	210
872	1435	208
873	1437	207
874	1438	205
875	1440	203
876	1441	202
877	1443	200
878	1445	198
879	1446	197
880	1447	195
881	1449	193
882	1451	192
883	1452	190
884	1453	188
885	1455	187
886	1457	185
887	1458	183
888	1460	182
889	1461	180
890	1463	179
891	1464	177
892	1466	175
893	1467	174
894	1469	172
895	1470	170
896	1471	168
897	1473	167
898	1474	165
899	1475	163
900	1477	162
901	1478	160
902	1480	158
903	1481	157
904	1483	155
905	1484	154
906	1486	152
907	1487	150
908	1489	149
909	1490	147
910	1491	145
911	1493	144
912	1494	142
913	1496	140
914	1497	139
915	1499	137
916	1500	135
917	1502	134
918	1503	132
919	1504	130
920	1506	129
921	1507	127
922	1509	125
923	1510	124
924	1512	122
925	1513	120
926	1514	119
927	1516	117
928	1518	116
929	1519	114
930	1520	112
931	1522	111
932	1523	109
933	1525	107
934	1526	106
935	1528	104
936	1529	102
937	1531	101
938	1532	99
939	1534	97
940	1536	96
941	1537	94
942	1539	93
943	1541	91
944	1542	89
945	1544	88
946	1545	86
947	1547	84
948	1548	83
949	1550	81
950	1551	79
951	1553	78
952	1554	76
953	1556	75
954	1557	73
955	1558	71
956	1560	70
957	1561	68
958	1563	66
959	1565	65
960	1566	63
961	1568	61
962	1570	60
963	1572	58
964	1573	57
965	1575	55
966	1576	53
967	1578	52
968	1579	50
969	1581	48
970	1582	47
971	1584	45
972	1586	44
973	1588	42
974	1589	40
975	1591	39
976	1592	37
977	1594	35
978	1595	34
979	1597	32
980	1600	30
981	1601	29
982	1603	27
983	1605	26
984	1606	24
985	1608	22
986	1609	21
987	1611	19
988	1612	17
989	1614	16
990	1615	14
991	1617	13
992	1619	11
993	1620	9
994	1622	8
995	1624	6
996	1626	4
997	1627	3
998	1629	1
999	1631	0
