iter	RMSE
447	14057.4658
448	14031.26056
449	14022.2417
450	14004.1163
451	13978.15333
452	13962.21535
453	13943.82131
454	13922.034
455	13913.73345
456	13898.23697
457	13897.12374
458	13873.23083
459	13840.55474
460	13839.48024
461	13831.68844
462	13823.67448
463	13796.18142
464	13781.77047
465	13780.79708
466	13762.74018
467	13752.65873
468	13735.98837
469	13734.65098
470	13723.43927
471	13693.53408
472	13678.01962
473	13661.24219
474	13635.14048
475	13610.33974
476	13599.17644
477	13581.27695
478	13563.72779
479	13537.38273
480	13522.4874
481	13521.32405
482	13504.62137
483	13477.3863
484	13462.08643
485	13448.35328
486	13442.03453
487	13423.73565
488	13409.87198
489	13380.15247
490	13354.08028
491	13340.33095
492	13330.14723
493	13315.55276
494	13286.46307
495	13262.38802
496	13234.83903
497	13223.122
498	13215.80841
499	13187.76442
500	13175.08569
501	13145.65609
502	13139.84478
503	13122.29536
504	13099.06284
505	13071.21871
506	13057.9271
507	13050.56739
508	13044.0257
509	13043.09407
510	13019.23824
511	12996.34227
512	12972.05422
513	12950.55814
514	12935.67091
515	12915.84409
516	12905.38942
517	12904.54568
518	12889.84786
519	12874.41616
520	12860.39456
521	12840.04695
522	12819.36717
523	12788.55683
524	12776.62485
525	12775.81105
526	12764.70675
527	12757.35159
528	12733.58827
529	12709.61313
530	12687.98934
531	12668.13192
532	12645.17599
533	12624.24825
534	12618.78005
535	12613.74871
536	12602.79603
537	12602.25352
538	12601.58236
539	12578.9013
540	12548.42793
541	12526.62325
542	12516.84485
543	12516.27044
544	12491.47096
545	12476.63191
546	12461.3668
547	12438.0033
548	12433.79689
549	12410.02212
550	12396.97847
551	12383.55217
552	12370.45404
553	12344.13236
554	12320.38153
555	12305.73733
556	12285.58571
557	12273.36347
558	12254.60107
559	12232.27164
560	12220.50984
561	12211.42684
562	12210.88607
563	12199.08797
564	12176.43601
565	12162.1798
566	12143.68164
567	12122.41436
568	12115.85759
569	12086.79156
570	12069.47441
571	12068.95754
572	12053.0678
573	12034.14638
574	12017.51943
575	12017.08084
576	12008.00439
577	11994.88975
578	11976.58648
579	11961.20776
580	11952.59066
581	11937.43251
582	11919.7774
583	11919.01483
584	11911.45921
585	11888.37578
586	11874.57657
587	11872.01802
588	11840.66493
589	11817.4893
590	11802.87597
591	11779.85981
592	11777.44573
593	11763.25588
594	11741.22774
595	11719.19324
596	11718.81791
597	11706.56717
598	11704.87
599	11691.31483
600	11678.5693
601	11678.1392
602	11665.02958
603	11647.218
604	11636.29236
605	11622.41543
606	11604.041
607	11586.74426
608	11571.41419
609	11545.64944
610	11532.53922
611	11508.16713
612	11486.63757
613	11468.82914
614	11468.41179
615	11460.65368
616	11444.32474
617	11425.33242
618	11405.15506
619	11396.01555
620	11393.89773
621	11383.51256
622	11365.84224
623	11350.37061
624	11346.29408
625	11323.55926
626	11310.01655
627	11302.33637
628	11283.09607
629	11270.20139
630	11257.5
631	11248.01996
632	11229.85902
633	11207.98358
634	11197.39219
635	11184.5058
636	11171.6247
637	11160.51638
638	11144.48789
639	11140.30372
640	11133.49885
641	11112.28653
642	11095.83461
643	11085.72064
644	11072.80931
645	11062.46833
646	11043.65165
647	11024.12264
648	11013.22808
649	11008.73602
650	11004.78241
651	10995.88872
652	10986.60904
653	10983.3833
654	10963.78135
655	10951.61291
656	10949.60713
657	10943.0131
658	10926.0863
659	10914.03633
660	10892.80742
661	10879.14596
662	10859.88636
663	10840.51603
664	10824.7665
665	10806.92302
666	10791.81232
667	10779.94108
668	10772.57728
669	10760.49282
670	10743.03171
671	10723.76954
672	10714.06207
673	10699.0057
674	10687.68597
675	10668.12139
676	10659.47217
677	10643.05466
678	10630.28938
679	10615.61171
680	10605.08468
681	10598.01036
682	10583.91274
683	10576.64576
684	10565.77463
685	10560.34664
686	10551.13544
687	10534.90637
688	10524.0243
689	10512.94538
690	10501.93778
691	10492.48246
692	10476.16615
693	10472.58104
694	10460.14815
695	10449.21497
696	10437.16272
697	10424.60865
698	10407.85909
699	10399.64441
700	10380.16883
701	10369.61039
702	10352.29609
703	10337.55037
704	10326.44775
705	10326.16699
706	10314.10418
707	10297.28483
708	10290.67182
709	10275.21497
710	10263.60547
711	10249.59134
712	10247.78298
713	10240.75024
714	10229.95244
715	10215.7172
716	10206.02172
717	10195.13002
718	10185.94746
719	10171.40036
720	10160.76047
721	10149.04263
722	10137.97962
723	10123.7402
724	10107.12275
725	10095.61635
726	10083.88048
727	10065.48999
728	10051.78997
729	10046.98967
730	10030.2936
731	10029.88091
732	10020.19298
733	10018.11687
734	10003.75693
735	9995.151497
736	9987.913621
737	9975.707671
738	9965.065208
739	9956.057688
740	9941.372711
741	9931.115088
742	9920.138491
743	9907.911223
744	9901.616876
745	9882.442826
746	9862.888503
747	9856.309023
748	9839.89757
749	9826.461569
750	9812.41805
751	9803.347599
752	9795.096322
753	9781.77158
754	9771.674809
755	9754.801266
756	9754.41462
757	9732.354499
758	9722.609384
759	9716.906537
760	9695.264696
761	9678.818262
762	9666.805288
763	9651.844658
764	9638.297055
765	9630.359249
766	9618.957703
767	9607.126586
768	9594.266725
769	9582.52182
770	9578.886836
771	9569.438013
772	9560.728488
773	9550.546691
774	9536.951633
775	9516.922985
776	9504.620001
777	9486.427598
778	9467.025199
779	9454.49981
780	9432.060821
781	9427.876648
782	9416.102316
783	9403.799611
784	9393.25104
785	9381.386784
786	9369.108352
787	9368.3567
788	9361.980574
789	9351.47048
790	9343.76102
791	9336.394133
792	9325.561292
793	9320.649272
794	9316.306065
795	9301.39414
796	9287.958057
797	9277.009899
798	9263.952666
799	9254.059251
800	9241.545196
801	9225.888055
802	9218.126532
803	9207.715486
804	9201.535583
805	9189.682521
806	9179.878492
807	9167.58757
808	9157.379478
809	9146.080935
810	9133.642663
811	9125.13882
812	9114.827557
813	9107.021766
814	9094.480407
815	9085.495387
816	9074.671904
817	9066.395704
818	9055.548749
819	9050.544632
820	9035.478967
821	9021.793311
822	9015.453461
823	9005.60662
824	8993.301449
825	8988.571
826	8980.736425
827	8974.158403
828	8960.334652
829	8949.303353
830	8938.820402
831	8929.497723
832	8925.110227
833	8920.996479
834	8907.908018
835	8901.168245
836	8893.03544
837	8884.198303
838	8877.847753
839	8865.252948
840	8858.472145
841	8848.441039
842	8846.01331
843	8845.703931
844	8835.206472
845	8822.188057
846	8812.781563
847	8804.636048
848	8799.581674
849	8795.219747
850	8784.227238
851	8771.07319
852	8754.104284
853	8744.516367
854	8734.339381
855	8719.790293
856	8709.86943
857	8698.670981
858	8698.385791
859	8685.936394
860	8678.126751
861	8667.919712
862	8662.116748
863	8648.842294
864	8639.828558
865	8627.549271
866	8621.762108
867	8614.726784
868	8612.581702
869	8604.79355
870	8595.543787
871	8586.988745
872	8579.428927
873	8567.351916
874	8560.4236
875	8549.849421
876	8543.962677
877	8538.726737
878	8526.681274
879	8513.227221
880	8500.294827
881	8486.50348
882	8476.061452
883	8465.91167
884	8464.202982
885	8457.238292
886	8456.62918
887	8456.266401
888	8450.19864
889	8442.277241
890	8432.710094
891	8415.407174
892	8407.391843
893	8399.64053
894	8394.033498
895	8393.592185
896	8388.020349
897	8382.078688
898	8375.185061
899	8368.325876
900	8358.991008
901	8351.39626
902	8350.834281
903	8341.037839
904	8331.341482
905	8321.231935
906	8313.495589
907	8307.070827
908	8296.867004
909	8290.677302
910	8282.114032
911	8273.857073
912	8273.556459
913	8266.765666
914	8259.763467
915	8246.999681
916	8235.761085
917	8217.2518
918	8204.585115
919	8197.481316
920	8189.192955
921	8178.330705
922	8171.85265
923	8165.371284
924	8158.212468
925	8150.86724
926	8136.722374
927	8130.35746
928	8123.370397
929	8111.382626
930	8104.105368
931	8091.327885
932	8086.942196
933	8080.676844
934	8069.301592
935	8060.63764
936	8060.253589
937	8045.581445
938	8035.25549
939	8022.555431
940	8011.13951
941	8005.414633
942	8002.484732
943	7988.360458
944	7982.164972
945	7974.571523
946	7964.474202
947	7949.785362
948	7938.66681
949	7932.654577
950	7924.77289
951	7917.635318
952	7904.809268
953	7891.898902
954	7887.366526
955	7881.006918
956	7880.516483
957	7872.748337
958	7866.843058
959	7857.819774
960	7847.958813
961	7838.962134
962	7830.541502
963	7820.614261
964	7812.885877
965	7804.935847
966	7799.776376
967	7795.018701
968	7789.967252
969	7777.117524
970	7765.559563
971	7763.746063
972	7757.709548
973	7750.962881
974	7750.536107
975	7741.666155
976	7738.963328
977	7729.601503
978	7724.171083
979	7717.757759
980	7707.824491
981	7704.118911
982	7694.851437
983	7688.676137
984	7680.584085
985	7672.22322
986	7662.577947
987	7655.40414
988	7646.566942
989	7639.322515
990	7636.547289
991	7629.701907
992	7623.885526
993	7616.268548
994	7599.902368
995	7592.678284
996	7584.967577
997	7572.994807
998	7564.16894
999	7555.67146
